Date,Team,Acquired,Relinquised,Notes
3/23/2014,Nuggets,,Wilson Chandler,strained left hip/groin (DNP)
3/23/2014,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
3/24/2014,76ers,,Tony Wroten Jr.,sprained right ankle (DNP)
3/24/2014,Bucks,,Ersan Ilyasova,right ankle injury (DNP)
3/24/2014,Bucks,,Nate Wolters,fractured left hand (DNP)
3/24/2014,Grizzlies,,Tony Allen,stomach virus (DNP)
3/24/2014,Hawks,,Kyle Korver,back spasms (DNP)
3/24/2014,Heat,,Dwyane Wade,ankle injury (DNP)
3/24/2014,Nets,,Andrei Kirilenko,sprained left ankle (DNP)
3/24/2014,Nuggets,,J.J. Hickson,torn ACL in right knee (DNP)
3/24/2014,Nuggets,,Jan Vesely,bruised left rib (DNP)
3/24/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
3/24/2014,Nuggets,,Wilson Chandler,strained left groin (DNP)
3/24/2014,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
3/24/2014,Pelicans,,Jason Smith,right knee injury (DNP)
3/24/2014,Pistons,,Charlie Villanueva,sore back (DNP)
3/24/2014,Spurs,,(William) Tony Parker,left Achilles injury (DNP)
3/24/2014,Spurs,,Danny Green,foot injury (DNP)
3/24/2014,Thunder,,Russell Westbrook,rest / knee injury (DNP)
3/24/2014,Timberwolves,,Jose Juan Barea / Jose Barea / J.J. Barea,sprained left foot (DNP)
3/24/2014,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
3/25/2014,Cavaliers,,Anthony Bennett,strained patellar tendon in left knee (DNP)
3/25/2014,Cavaliers,,C.J. Miles,sprained left ankle (DNP)
3/25/2014,Cavaliers,,Sergey Karasev,patellar tendinitis in right knee (DNP)
3/25/2014,Lakers,,Pau Gasol,vertigo (DNP)
3/25/2014,Lakers,,Steve Nash,nerve root irritation (DNP)
3/25/2014,Magic,,Jameer Nelson,sore left knee (DNP)
3/25/2014,Mavericks,,Gal Mekel,knee injury (DNP)
3/25/2014,Nuggets,,J.J. Hickson,surgery on right knee to repair torn ACL (out indefinitely)
3/26/2014,Bobcats,,Gary Neal,sprained left ankle (DNP)
3/26/2014,Cavaliers,,Anthony Bennett,strained patellar tendon in left knee (DNP)
3/26/2014,Cavaliers,,C.J. Miles,sprained left ankle (DNP)
3/26/2014,Cavaliers,,Sergey Karasev,patellar tendinitis in right knee (DNP)
3/26/2014,Celtics,,Vitor Faverani,knee injury (DNP)
3/26/2014,Hawks,,Kyle Korver,back spasms (DNP)
3/26/2014,Heat,,Ray Allen,illness (DTD)
3/26/2014,Kings,,Isaiah Thomas,bruised right quadriceps (DNP)
3/26/2014,Nets,,Andrei Kirilenko,sprained left ankle (DNP)
3/26/2014,Nets,,Marcus Thornton (T.),back injury (DNP)
3/26/2014,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
3/26/2014,Nuggets,,Jan Vesely,bruised left rib (DNP)
3/26/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
3/26/2014,Nuggets,,Wilson Chandler,strained left groin (DNP)
3/26/2014,Pelicans,,Austin Rivers,illness (DNP)
3/26/2014,Pelicans,,Brian Roberts,bone bruise in left knee (DNP)
3/26/2014,Pistons,,Charlie Villanueva,sore back (DNP)
3/26/2014,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
3/27/2014,76ers,,Tony Wroten Jr.,sprained right ankle (DNP)
3/27/2014,Bucks,,Ersan Ilyasova,right ankle injury (DNP)
3/27/2014,Bucks,,Nate Wolters,fractured left hand (DNP)
3/27/2014,Bucks,,O.J. Mayo,sprained right ankle (DNP)
3/27/2014,Hawks,,Kyle Korver,back spasms (DNP)
3/27/2014,Hawks,,Pero Antic,sprained right ankle (DNP)
3/27/2014,Lakers,,Pau Gasol,vertigo (DNP)
3/27/2014,Lakers,,Steve Nash,nerve root irritation (DNP)
3/27/2014,Mavericks,,Gal Mekel,knee injury (DNP)
3/28/2014,Bobcats,,Gary Neal,sprained left ankle (DNP)
3/28/2014,Cavaliers,,C.J. Miles,sprained left ankle (DNP)
3/28/2014,Cavaliers,,Sergey Karasev,patellar tendinitis in right knee (DNP)
3/28/2014,Celtics,,Vitor Faverani,knee injury (DNP)
3/28/2014,Heat,,Mario Chalmers,bruised right quadricap (DNP)
3/28/2014,Kings,,Derrick Williams,illness (DNP)
3/28/2014,Lakers,,Pau Gasol,vertigo (DNP)
3/28/2014,Lakers,,Xavier Henry,sore right knee (DNP)
3/28/2014,Nets,,Andrei Kirilenko,sprained left ankle (DNP)
3/28/2014,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
3/28/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
3/28/2014,Nuggets,,Wilson Chandler,strained left groin (DNP)
3/28/2014,Pelicans,,Brian Roberts,bone bruise in left knee (DNP)
3/28/2014,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
3/28/2014,Pelicans,,Jason Smith,right knee injury (DNP)
3/28/2014,Pistons,,Charlie Villanueva,sore back (DNP)
3/28/2014,Rockets,,Patrick Beverley,right knee injury (DTD) (CBC) / torn meniscus in right knee (out indefinitely)
3/28/2014,Spurs,,Danny Green,right foot inflammation (DNP)
3/28/2014,Thunder,,Reggie Jackson (b),back spasms (DNP)
3/28/2014,Warriors,,David Lee,strained right hamstring (DNP)
3/28/2014,Heat,,Dwyane Wade,strained left hamstring (DNP)
3/29/2014,76ers,,Byron Mullens / B.J. Mullens,sprained left ankle (DNP)
3/29/2014,Bucks,,Ersan Ilyasova,right ankle injury (DNP)
3/29/2014,Bucks,,Nate Wolters,fractured left hand (DNP)
3/29/2014,Bucks,,O.J. Mayo,sprained right ankle (DNP)
3/29/2014,Clippers,,Danny Granger,strained left hamstring (DNP)
3/29/2014,Hawks,,DeMarre Carroll,stomach virus (DNP)
3/29/2014,Hawks,,Kyle Korver,back spasms (DNP)
3/29/2014,Heat,,Dwyane Wade,strained left hamstring (DNP)
3/29/2014,Heat,,Mario Chalmers,bruised right quadricap (DNP)
3/29/2014,Kings,,Isaiah Thomas,bruised right quadriceps (DNP)
3/29/2014,Mavericks,,Gal Mekel,knee injury (DNP)
3/29/2014,Pelicans,,Anthony Davis,left ankle injury (DNP)
3/29/2014,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
3/29/2014,Pelicans,,Jason Smith,right knee injury (DNP)
3/29/2014,Pistons,,Charlie Villanueva,sore back (DNP)
3/29/2014,Rockets,,Dwight Howard,sprained left ankle (DNP)
3/29/2014,Rockets,,Patrick Beverley,torn meniscus in right knee / sprained right knee (P) (DNP)
3/29/2014,Spurs,,Danny Green,right foot inflammation (DNP)
3/30/2014,Cavaliers,,Anthony Bennett,strained patellar tendon in left knee (DNP)
3/30/2014,Cavaliers,,C.J. Miles,sprained left ankle (DNP)
3/30/2014,Cavaliers,,Sergey Karasev,patellar tendinitis in right knee (DNP)
3/30/2014,Celtics,,Vitor Faverani,knee injury (DNP)
3/30/2014,Lakers,,Pau Gasol,vertigo (DNP)
3/30/2014,Lakers,,Steve Nash,nerve root irritation (DNP)
3/30/2014,Lakers,,Xavier Henry,torn ligament in left wrist / knee injury (CBC) (DNP)
3/30/2014,Nets,,Andrei Kirilenko,sprained left ankle (DNP)
3/30/2014,Thunder,,Reggie Jackson (b),back spasms (DNP)
3/30/2014,Warriors,,Andrew Bogut,bruised pelvis (DNP)
3/30/2014,Warriors,,David Lee,strained right hamstring (DNP)
3/31/2014,76ers,,Byron Mullens / B.J. Mullens,sprained left ankle (DNP)
3/31/2014,Bucks,,Ersan Ilyasova,right ankle injury (DNP)
3/31/2014,Bucks,,Nate Wolters,fractured left hand (DNP)
3/31/2014,Celtics,,Vitor Faverani,knee injury (DNP)
3/31/2014,Clippers,,Blake Griffin,back spasms (DNP)
3/31/2014,Clippers,,Danny Granger,strained left hamstring (DNP)
3/31/2014,Clippers,,Jamal Crawford,left calf injury (DNP)
3/31/2014,Heat,,Dwyane Wade,strained left hamstring (DNP)
3/31/2014,Kings,,Aaron Gray,illness (DNP)
3/31/2014,Kings,,Isaiah Thomas,bruised right quadriceps (DNP)
3/31/2014,Knicks,,Amare Stoudemire / Amar'e Stoudemire,knee injury (DNP)
3/31/2014,Knicks,,Toure' Murry / Toure Murry,stomach virus (DNP)
3/31/2014,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
3/31/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
3/31/2014,Nuggets,,Wilson Chandler,strained left groin (DNP)
3/31/2014,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
3/31/2014,Pelicans,,Jason Smith,right knee injury (DNP)
3/31/2014,Spurs,,Aron Baynes,sprained right foot / rib injury (CBC) (DNP)
4/1/2014,Mavericks,,Gal Mekel,knee injury (DNP)
4/1/2014,Nets,,Andrei Kirilenko,sprained left ankle (DNP)
4/1/2014,Nets,,Marcus Thornton (T.),back injury (DNP)
4/1/2014,Rockets,,Dwight Howard,sprained left ankle (DNP)
4/1/2014,Rockets,,Patrick Beverley,sprained right knee (DNP)
4/1/2014,Rockets,,Terrence Jones,flu (DNP)
4/1/2014,Warriors,,Andrew Bogut,bruised pelvis (DNP)
4/1/2014,Warriors,,David Lee,strained right hamstring (DNP)
4/2/2014,76ers,,Byron Mullens / B.J. Mullens,sprained left ankle (DNP)
4/2/2014,Bobcats,,Josh McRoberts,sprained left ankle (DNP)
4/2/2014,Bucks,,Ersan Ilyasova,right ankle injury (DNP)
4/2/2014,Bucks,,Nate Wolters,fractured left hand (DNP)
4/2/2014,Bucks,,O.J. Mayo,sprained right ankle (DNP)
4/2/2014,Cavaliers,,Anderson Varejao,sprained AC joint in right shoulder (DNP)
4/2/2014,Cavaliers,,Anthony Bennett,strained patellar tendon in left knee (DNP)
4/2/2014,Cavaliers,,C.J. Miles,sprained left ankle (DNP)
4/2/2014,Celtics,,Avery Bradley,strained right Achilles tendon (DNP)
4/2/2014,Celtics,,Vitor Faverani,knee injury (DNP)
4/2/2014,Clippers,,Danny Granger,strained left hamstring (DNP)
4/2/2014,Clippers,,Jamal Crawford,left calf injury (DNP)
4/2/2014,Kings,,Aaron Gray,stomach illness (DNP)
4/2/2014,Kings,,Isaiah Thomas,bruised right quadriceps (DNP)
4/2/2014,Lakers,,Chris Kaman,sore right calf (DNP)
4/2/2014,Lakers,,Pau Gasol,vertigo (DNP)
4/2/2014,Lakers,,Steve Nash,sprained ankle / nerve root irritation (P) (DNP)
4/2/2014,Lakers,,Xavier Henry,torn ligament in left wrist (DNP)
4/2/2014,Nets,,Andrei Kirilenko,sprained left ankle (DNP)
4/2/2014,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
4/2/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
4/2/2014,Nuggets,,Wilson Chandler,strained left groin (DNP)
4/2/2014,Pacers,,Solomon Hill,sore back (DNP)
4/2/2014,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
4/2/2014,Pelicans,,Jason Smith,right knee injury (DNP)
4/2/2014,Rockets,,Dwight Howard,sprained left ankle (DNP)
4/2/2014,Rockets,,Patrick Beverley,sprained right knee (DNP)
4/2/2014,Spurs,,Aron Baynes,rib injury (DNP)
4/2/2014,Spurs,,Austin Daye,strained lat (DNP)
4/2/2014,Warriors,,Andre Iguodala,right knee injury (DNP)
4/2/2014,Warriors,,Andrew Bogut,bruised pelvis (DNP)
4/2/2014,Warriors,,David Lee,strained right hamstring / right knee tendinitis (P) (DNP)
4/2/2014,Heat,,Ray Allen,stomach virus (DNP)
4/3/2014,Clippers,,Jamal Crawford,left calf injury (DNP)
4/3/2014,Mavericks,,Gal Mekel,knee injury (DNP)
4/3/2014,Spurs,,Austin Daye,strained lat (DNP)
4/3/2014,Spurs,,Emanuel Ginobili / Manu Ginobili,rest (DNP)
4/4/2014,76ers,,Byron Mullens / B.J. Mullens,sprained left ankle (DNP)
4/4/2014,Bobcats,,Josh McRoberts,sprained left ankle (DNP)
4/4/2014,Bucks,,Ekpe Udoh,right knee injury (DNP)
4/4/2014,Bucks,,Ersan Ilyasova,right ankle injury (DNP)
4/4/2014,Bucks,,Nate Wolters,fractured left hand (DNP)
4/4/2014,Bucks,,O.J. Mayo,sprained right ankle (DNP)
4/4/2014,Cavaliers,,Sergey Karasev,right knee tendinitis (DNP)
4/4/2014,Celtics,,Avery Bradley,strained right Achilles tendon (DNP)
4/4/2014,Celtics,,Vitor Faverani,knee injury (DNP)
4/4/2014,Heat,,Justin Hamilton (b),illness (DNP)
4/4/2014,Kings,,Aaron Gray,illness (DNP)
4/4/2014,Kings,,Isaiah Thomas,bruised right quadriceps (DNP)
4/4/2014,Lakers,,Chris Kaman,sore right calf (DNP)
4/4/2014,Lakers,,Pau Gasol,vertigo (DNP)
4/4/2014,Lakers,,Xavier Henry,torn ligament in left wrist (DNP)
4/4/2014,Magic,,Nikola Vucevic,sore left Achilles (DNP)
4/4/2014,Mavericks,,Gal Mekel,knee injury (DNP)
4/4/2014,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
4/4/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
4/4/2014,Nuggets,,Wilson Chandler,strained left groin (DNP)
4/4/2014,Pacers,,Solomon Hill,sore back (DNP)
4/4/2014,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
4/4/2014,Pelicans,,Jason Smith,right knee injury (DNP)
4/4/2014,Rockets,,Dwight Howard,sprained left ankle (DNP)
4/4/2014,Rockets,,Patrick Beverley,sprained right knee (DNP)
4/4/2014,Thunder,,Russell Westbrook,rest / knee injury (DNP)
4/4/2014,Timberwolves,,Kevin Martin,sore right foot (DNP)
4/4/2014,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
4/4/2014,Warriors,,Andrew Bogut,bruised pelvis (DNP)
4/4/2014,Warriors,,David Lee,strained right hamstring (DNP)
4/5/2014,76ers,,Byron Mullens / B.J. Mullens,sprained left ankle (DNP)
4/5/2014,Bobcats,,Josh McRoberts,sprained left ankle (DNP)
4/5/2014,Bucks,,Ekpe Udoh,right knee injury (DNP)
4/5/2014,Bucks,,Ersan Ilyasova,right ankle injury (DNP)
4/5/2014,Bucks,,Miroslav Raduljica,sprained ankle (DNP)
4/5/2014,Bucks,,Nate Wolters,fractured left hand (DNP)
4/5/2014,Bucks,,O.J. Mayo,sprained right ankle (DNP)
4/5/2014,Cavaliers,,Sergey Karasev,right knee tendinitis (DNP)
4/5/2014,Celtics,,Avery Bradley,strained right Achilles tendon (DNP)
4/5/2014,Celtics,,Kris Humphries,strained patella tendon in right knee (DNP)
4/5/2014,Celtics,,Rajon Rondo,rest (DNP)
4/5/2014,Celtics,,Vitor Faverani,knee injury (DNP)
4/5/2014,Lakers,,Steve Nash,back injury (DNP)
4/5/2014,Magic,,Nikola Vucevic,sore left Achilles (DNP)
4/5/2014,Timberwolves,,Kevin Love,back spasms (DNP)
4/5/2014,Timberwolves,,Kevin Martin,sore right foot (DNP)
4/5/2014,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
4/5/2014,Timberwolves,,Shabazz Muhammad,sore right knee (DNP)
4/6/2014,Clippers,,Danny Granger,strained left hamstring (DNP)
4/6/2014,Clippers,,Jamal Crawford,left calf injury (DNP)
4/6/2014,Hawks,,Louis Williams / Lou Williams,hamstring injury (DNP)
4/6/2014,Heat,,Chris Andersen,bruised right knee (DNP)
4/6/2014,Heat,,Justin Hamilton (b),illness (DNP)
4/6/2014,Kings,,Isaiah Thomas,bruised right quadriceps (DNP)
4/6/2014,Lakers,,Chris Kaman,sore/strained right calf (DNP)
4/6/2014,Lakers,,Pau Gasol,vertigo (DNP)
4/6/2014,Lakers,,Steve Nash,nerve root irritation (DNP)
4/6/2014,Mavericks,,Gal Mekel,knee injury (DNP)
4/6/2014,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
4/6/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
4/6/2014,Nuggets,,Ty Lawson,sprained left ankle (DNP)
4/6/2014,Nuggets,,Wilson Chandler,strained left groin (DNP)
4/6/2014,Pacers,,Solomon Hill,sore back (DNP)
4/6/2014,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
4/6/2014,Pelicans,,Jason Smith,right knee injury (DNP)
4/6/2014,Rockets,,Dwight Howard,sprained left ankle (DNP)
4/6/2014,Rockets,,Patrick Beverley,sprained right knee (DNP)
4/6/2014,Warriors,,David Lee,strained right hamstring / nerve irritation in right leg (P) (DNP)
4/6/2014,Lakers,,Jordan Farmar,strained right groin (DNP)
4/7/2014,Lakers,,Kent Bazemore,right foot injury (out indefinitely)
4/8/2014,Hawks,,Louis Williams / Lou Williams,hamstring injury (DNP)
4/8/2014,Heat,,Udonis Haslem,stomach virus (DNP)
4/8/2014,Kings,,Isaiah Thomas,bruised right quadriceps (DNP)
4/8/2014,Kings,,Reggie Evans,sore lower back (DNP)
4/8/2014,Kings,,Rudy Gay,strained lower back (DNP)
4/8/2014,Lakers,,Chris Kaman,sore/strained right calf (DNP)
4/8/2014,Lakers,,Kent Bazemore,torn tendon in right foot (DNP)
4/8/2014,Lakers,,Pau Gasol,vertigo (DNP)
4/8/2014,Mavericks,,Gal Mekel,knee injury (DNP)
4/8/2014,Nets,,Andray Blatche,illness (DNP)
4/8/2014,Pelicans,,Ryan Anderson,surgery on neck to repair herniated disc (out for season) (date approximate)
4/8/2014,Pistons,,Josh Smith,knee injury (DNP)
4/8/2014,Rockets,,Dwight Howard,sprained left ankle (DNP)
4/8/2014,Rockets,,Patrick Beverley,sprained right knee (DNP)
4/8/2014,Thunder,,Russell Westbrook,knee injury (DNP)
4/8/2014,Timberwolves,,Chase Budinger,sprained right ankle (DNP)
4/8/2014,Timberwolves,,Kevin Martin,sore right foot (DNP)
4/8/2014,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
4/9/2014,76ers,,Byron Mullens / B.J. Mullens,sprained left ankle (DNP)
4/9/2014,Bucks,,Ekpe Udoh,right knee injury (DNP)
4/9/2014,Bucks,,Miroslav Raduljica,sprained ankle (DNP)
4/9/2014,Bucks,,O.J. Mayo,sprained right ankle (DNP)
4/9/2014,Celtics,,Kris Humphries,strained patella tendon in right knee (DNP)
4/9/2014,Celtics,,Vitor Faverani,knee injury (DNP)
4/9/2014,Clippers,,Danny Granger,strained left hamstring (DNP)
4/9/2014,Clippers,,Jamal Crawford,left calf injury (DNP)
4/9/2014,Hawks,,Pero Antic,sore right ankle (DNP)
4/9/2014,Heat,,Chris Andersen,bruised right knee (DNP)
4/9/2014,Heat,,Udonis Haslem,stomach virus (DNP)
4/9/2014,Kings,,Isaiah Thomas,bruised right quadriceps (DNP)
4/9/2014,Kings,,Rudy Gay,strained lower back (DNP)
4/9/2014,Magic,,Nikola Vucevic,sore left Achilles (DNP)
4/9/2014,Nets,,Paul Pierce,right hip pointer (DNP)
4/9/2014,Nets,,Shaun Livingston,sprained right big toe (DNP)
4/9/2014,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
4/9/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
4/9/2014,Nuggets,,Ty Lawson,sprained left ankle (DNP)
4/9/2014,Nuggets,,Wilson Chandler,strained left groin (DNP)
4/9/2014,Pacers,,David West,rest (DNP)
4/9/2014,Pacers,,George Hill,rest (DNP)
4/9/2014,Pacers,,Lance Stephenson,rest (DNP)
4/9/2014,Pacers,,Paul George,rest (DNP)
4/9/2014,Pelicans,,Anthony Davis,back spasms (DNP)
4/9/2014,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
4/9/2014,Pelicans,,Jason Smith,right knee injury (DNP)
4/9/2014,Pistons,,Josh Smith,patellar tendinitis in left knee (DNP)
4/9/2014,Rockets,,Patrick Beverley,sprained right knee (DNP)
4/9/2014,Timberwolves,,Chase Budinger,sprained right ankle (DNP)
4/9/2014,Timberwolves,,Jose Juan Barea / Jose Barea / J.J. Barea,back spasms (DNP)
4/9/2014,Timberwolves,,Kevin Martin,sore right foot (DNP)
4/9/2014,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
4/10/2014,Mavericks,,Gal Mekel,knee injury (DNP)
4/10/2014,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
4/10/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
4/10/2014,Nuggets,,Ty Lawson,sprained left ankle (DNP)
4/10/2014,Nuggets,,Wilson Chandler,strained left groin (DNP)
4/10/2014,Warriors,,David Lee,strained right hamstring / nerve irritation in right leg (P) (DNP)
4/11/2014,Bobcats,,Kemba Walker,sore right groin (DNP)
4/11/2014,Bucks,,Ekpe Udoh,right knee injury (DNP)
4/11/2014,Bucks,,O.J. Mayo,sprained right ankle (DNP)
4/11/2014,Cavaliers,,Luol Deng,back injury (DNP)
4/11/2014,Celtics,,Rajon Rondo,bruised left shin (DNP)
4/11/2014,Celtics,,Vitor Faverani,knee injury (DNP)
4/11/2014,Lakers,,Chris Kaman,sore/strained right calf (DNP)
4/11/2014,Lakers,,Kent Bazemore,torn tendon in right foot (DNP)
4/11/2014,Lakers,,Pau Gasol,vertigo (DNP)
4/11/2014,Lakers,,Steve Nash,back injury / nerve root irritation (DNP)
4/11/2014,Lakers,,Xavier Henry,surgery on left wrist and right knee (out indefinitely)
4/11/2014,Magic,,Nikola Vucevic,sore left Achilles (DNP)
4/11/2014,Nets,,Alan Anderson,sore abdominal muscle (DNP)
4/11/2014,Nets,,Shaun Livingston,sprained right big toe (DNP)
4/11/2014,Pelicans,,Anthony Davis,back spasms (DNP)
4/11/2014,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
4/11/2014,Pistons,,Josh Smith,patellar tendinitis in left knee (DNP)
4/11/2014,Rockets,,Patrick Beverley,sprained right knee (DNP)
4/11/2014,Spurs,,Emanuel Ginobili / Manu Ginobili,calf injury / rest (DNP)
4/11/2014,Spurs,,Matt Bonner,food poisoning (DNP)
4/11/2014,Spurs,,Tim Duncan,placed on IL for rest
4/11/2014,Suns,,Goran Dragic,sprained ankle (DNP)
4/11/2014,Timberwolves,,Chase Budinger,sprained right ankle (DNP)
4/11/2014,Timberwolves,,Kevin Love,hyperextended right elbow (DNP)
4/11/2014,Timberwolves,,Kevin Martin,sore right foot (DNP)
4/11/2014,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
4/11/2014,Warriors,,Andre Iguodala,right knee tendinitis (DNP)
4/11/2014,Warriors,,Jermaine O'Neal,left knee injury (DNP)
4/11/2014,Cavaliers,,Anthony Bennett,strained patellar tendon in left knee (DNP)
4/11/2014,Cavaliers,,C.J. Miles,sprained left ankle (DNP)
4/12/2014,76ers,,Jarvis Varnado,sore right heel (DNP)
4/12/2014,Bobcats,,Kemba Walker,sore right groin (DNP)
4/12/2014,Bucks,,Brandon Knight,hip injury (DNP)
4/12/2014,Bucks,,Ekpe Udoh,right knee injury (DNP)
4/12/2014,Bucks,,O.J. Mayo,sprained right ankle (DNP)
4/12/2014,Cavaliers,,Anthony Bennett,strained patellar tendon in left knee (DNP)
4/12/2014,Cavaliers,,C.J. Miles,sprained left ankle (DNP)
4/12/2014,Cavaliers,,Luol Deng,back injury (DNP)
4/12/2014,Celtics,,Jared Sullinger,sprained left ankle (DNP)
4/12/2014,Celtics,,Jerryd Bayless,hyperextended right knee (DNP)
4/12/2014,Celtics,,Kris Humphries,strained patella tendon in right knee (DNP)
4/12/2014,Celtics,,Rajon Rondo,bruised left shin (DNP)
4/12/2014,Celtics,,Vitor Faverani,knee injury (DNP)
4/12/2014,Clippers,,Danny Granger,strained left hamstring (DNP)
4/12/2014,Hawks,,Pero Antic,sprained right ankle (DNP)
4/12/2014,Jazz,,Marvin Williams,knee injury (DNP)
4/12/2014,Kings,,Isaiah Thomas,bruised right quadriceps (DNP)
4/12/2014,Mavericks,,Gal Mekel,knee injury (DNP)
4/12/2014,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
4/12/2014,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
4/12/2014,Nuggets,,Ty Lawson,sprained left ankle (DNP)
